date,Time,magnitude,zone,description
6/9/2024,1:28,2.7,ZONA SEISMICA VRANCEA VRANCEA,
6/4/2024,10:49,2.3,ZONA SEISMICA VRANCEA BUZAU,
6/1/2024,17:41,2.2,ZONA SEISMICA VRANCEA VRANCEA,
5/31/2024,5:47,3.4,ZONA SEISMICA VRANCEA BUZAU,
5/30/2024,22:28,2.9,MUNTENIA PRAHOVA,
5/29/2024,22:13,3.2,ZONA SEISMICA VRANCEA VRANCEA,
5/27/2024,19:25,2.8,ZONA SEISMICA VRANCEA VRANCEA,
5/27/2024,7:16,3.5,ZONA SEISMICA VRANCEA BUZAU,
5/27/2024,1:41,3.5,ZONA SEISMICA VRANCEA VRANCEA,
5/26/2024,13:17,2.7,OLTENIA VALCEA,
5/26/2024,12:58,2.5,OLTENIA VALCEA,
5/26/2024,12:12,2.9,OLTENIA VALCEA,
5/25/2024,1:27,3.6,ZONA SEISMICA VRANCEA BUZAU,
5/24/2024,22:59,2.8,ZONA SEISMICA VRANCEA BUZAU,
5/24/2024,7:00,2.2,OLTENIA GORJ,
5/23/2024,18:52,2.9,ZONA SEISMICA VRANCEA BUZAU,
5/23/2024,1:20,3.2,ZONA SEISMICA VRANCEA BUZAU,
5/22/2024,12:53,4.1,ZONA SEISMICA VRANCEA BUZAU,
5/19/2024,2:43,2.9,ZONA SEISMICA VRANCEA VRANCEA,
5/18/2024,20:20,2.8,BANAT CARAS-SEVERIN,
5/16/2024,4:38,2.8,MARAMURES MARAMURES,
5/15/2024,18:07,2.3,MARAMURES MARAMURES,
5/14/2024,10:37,2.3,TRANSILVANIA BRASOV,
5/14/2024,4:46,2.1,ZONA SEISMICA VRANCEA VRANCEA,
5/12/2024,22:40,2.1,MARAMURES MARAMURES,
5/10/2024,20:18,2.3,OLTENIA GORJ,
5/10/2024,11:13,2,MUNTENIA PRAHOVA,
5/9/2024,17:57,3.9,ZONA SEISMICA VRANCEA BUZAU,
5/9/2024,15:26,2.4,ZONA SEISMICA VRANCEA VRANCEA,
5/9/2024,15:23,2.3,OLTENIA GORJ,
5/8/2024,6:02,2.6,MARAMURES MARAMURES,
5/7/2024,23:27,2.6,MARAMURES MARAMURES,
5/7/2024,18:32,4.1,ZONA SEISMICA VRANCEA BUZAU,
5/7/2024,10:41,2,ZONA SEISMICA VRANCEA VRANCEA,
5/7/2024,8:31,2.4,MARAMURES MARAMURES,
5/7/2024,6:41,2.8,ZONA SEISMICA VRANCEA PRAHOVA,
5/6/2024,2:11,2.8,ZONA SEISMICA VRANCEA BUZAU,
5/5/2024,19:07,2.1,MUNTENIA BRAILA,
5/5/2024,6:00,2.8,ZONA SEISMICA VRANCEA BUZAU,
5/3/2024,11:54,2.5,OLTENIA GORJ,
4/28/2024,20:02,2.5,OLTENIA GORJ,
4/28/2024,6:43,3.3,ZONA SEISMICA VRANCEA VRANCEA,
4/27/2024,0:24,2.1,MOLDOVA GALATI,
4/26/2024,2:05,3.5,ZONA SEISMICA VRANCEA BUZAU,
4/24/2024,3:00,3.3,ZONA SEISMICA VRANCEA VRANCEA,
4/22/2024,22:43,2.1,MOLDOVA GALATI,
4/20/2024,13:31,2.6,ZONA SEISMICA VRANCEA COVASNA,
4/20/2024,5:13,2.1,OLTENIA GORJ,
4/17/2024,5:18,2.1,BANAT CARAS-SEVERIN,
4/17/2024,5:10,2,BANAT CARAS-SEVERIN,
4/15/2024,2:58,2.5,ZONA SEISMICA VRANCEA BUZAU,
4/14/2024,10:02,3.9,ZONA SEISMICA VRANCEA VRANCEA,
4/13/2024,22:35,2.7,ZONA SEISMICA VRANCEA VRANCEA,
4/13/2024,22:25,2.8,ZONA SEISMICA VRANCEA VRANCEA,
4/13/2024,21:57,2.2,MUNTENIA CALARASI,
4/12/2024,20:20,2.4,MUNTENIA BRAILA,
4/11/2024,15:57,2.9,ZONA SEISMICA VRANCEA BUZAU,
4/10/2024,23:22,3.2,ZONA SEISMICA VRANCEA VRANCEA,
4/10/2024,20:42,2.3,MUNTENIA BRAILA,
4/10/2024,16:34,2.2,ZONA SEISMICA VRANCEA COVASNA,
4/10/2024,9:54,3.4,ZONA SEISMICA VRANCEA VRANCEA,
4/9/2024,11:28,3.2,MOLDOVA VRANCEA_SE,
4/9/2024,9:22,2.8,OLTENIA GORJ,
4/7/2024,19:40,2.6,ZONA SEISMICA VRANCEA BUZAU,
4/7/2024,17:47,2.7,MUNTENIA BRAILA,
4/7/2024,0:52,2.5,DOBROGEA TULCEA,
4/6/2024,19:51,3.3,MUNTENIA BRAILA,
4/5/2024,6:29,2.4,OLTENIA MEHEDINTI,
4/3/2024,1:41,2.6,ZONA SEISMICA VRANCEA VRANCEA,
4/1/2024,23:51,2.7,MUNTENIA BUZAU,
3/29/2024,11:22,2.2,MOLDOVA IASI,
3/28/2024,10:18,2.4,MOLDOVA BACAU,
